imo,vessel_name
9402732,URAN
9402770,IPANEMA STREETIMO номер: 9402770
9402782,OCEAN ELECTRAIMO номер: 9402782
9402914,MARAN PENELOPE (ранее: ASTRO PENELOPE)
9402988,HAPPY GAS
9403310,PIS PARAGON (бывш. CHALLENGE PARAGON)IMO номер: 9403310
9403554,SERENGETI
9404364,JOHN AUGUSTUS ESSBERGER (бывш. BLUE GARNET)
9404376,IEVOLI GOLD (бывшее название: MARIA LAURA)
9404625,CORAL LEAF
9404845,ZENITH SPIRIT
9404924,C. GALAXY
9404936,AFRA MAREТип судна: Танкер для перевозки сырой нефти (Crude Oil Tanker / Aframax / LR2)
9405057,HIGH PEAK
9405643,JN EMERALD
9405875,HISUI
9407093,"CHEM MIA (ранее: BW MIA, STREAM MIA, GOLDEN MIA)"
9407275,CLEAROCEAN FUYO
9407562,GOLDEN STATE
9407847,
9407988,STEN BERGEN
9408102,PELICAN STATE
9408542,LING HONG (также фигурирует под названием TONG TU)
9408554,HE BO
9408683,ZHUO YUAN
9408695,"TASSOS (ранее: BAY GLOBAL, FRONT BALDER)"
9409493,DIAMOND EXPRESS
9410208,KAROLOS
9410399,SERIFOS
9410533,MED ATLANTICТип судна: Танкер-химовоз / нефтепродуктовоз (Chemical/Oil Products Tanker)
9410973,ADVANTAGE SUGAR
9411082,"NEW LIBERTY (бывш. NOBLEWAY, KNOCK CLUNE)"
9411197,
9411226,CE BERMUDA
9411733,ANIVUS 1 (ранее ANAFI)
9411965,KALLISTA (ранее: ATHENIAN HARMONY)
9412074,ANDOVER
9412098,PHAETHON
9412103,PEGASUS
9412335,"SHARQAH (ранее: AGRI, MARAN TETHYS)"
9412347,LYNX (прежнее название: LEONID LOZA)
9412359,BELGOROD
9412995,KRUGER
9413573,ARCADIA
9413664,R.C BEHAR
9413688,SINBAD
9413834,PATROCLUS
9413884,KIYO MARU NO.8
9414058,
9414060,STOLT NORLAND
9414216,GINGA CHEETAH
9414254,CHEMROAD JOURNEY
9414632,SEVILLA KNUTSEN
9414814,SWARNA BRAHMAPUTRA
9415650,AQUAMARINE PROGRESSТип судна: Газовоз (LPG Tanker / VLGC)
9415698,GAS SHAKTI
9415703,GREEN SHAKTI
9416070,DING HENG 39
9416109,TG VIRGO
9416628,XIN PU YANG
9416642,XIN YONG YANG
9416654,XIN SHEN YANG
9416733,
9417012,EAGLE KUANTAN
9417189,YUAN SHAN HU
9417206,TAURUS (ранее: FPMC 21)
9417218,"VIRGO (бывш. FPMC 22, NAN LIAN 11)"
9417452,CHRYSANTHEMUM
9418133,
9418145,STRENGTH
9418365,SHAGRA
9418494,ZALIV ANIVA
9418602,"MOSCOW SPIRIT (ранее: PRINCIMAR STRENGTH, ORIENT PIONEER)"
9418822,HARBOUR EXPRESSIMO номер: 9418822
9419369,AMFITRITI
9419474,APOLYTARES
9419955,FPMC C NOBLE
9419967,SINGAPORE PROSPERITY
9420710,BOCHEM OSLO
9421269,BTS FABULOUS
9421324,"PRAGUE (бывшие названия: MR AQUARIUS, MARLIN GLORY, MERIOM GLORY)"
9422146,C. ETERNITYIMO номер: 9422146
9422392,ZARUMA
9422445,RESPECT (ранее: ARCTIC AURORA)
9422512,CLEAN MOXIE
9422550,DUBAI BRILLIANCE
9422615,DONG A TRITON
9422677,MARI GALAXY
9422988,VOLANS (также известное как NEW MILOS)
9423906,"FLORA MARIS (ранее: BACHATA, CHANG JIANG)"
9424211,OLYMPIC LUCK
9424223,NYALA
9424273,OLYMPIC LIGHT
9424649,"TOKYO (ранее: PS TOKYO, HIGH EFFICIENCY)"
9425227,CALDERA STAR (ранее NIDA STAR)IMO номер: 9425227
9425497,"PATRICK C (ранее PERSEUS N, ELBTANK FRANCE)"
9425526,
9425538,PENTOZALI
9425992,GINGA LEOPARD
9426441,SENDA
9427627,ADEBOLA ADELINE
9427990,CYGNI
9428372,VIRGEN DEL CISNE
9428437,"EXCELLION (бывшие названия: AC-D, NORDIC THERESA, MALOU THERESA, UMAY)"
9428841,SM NAVIGATOR
9429003,TORM GWYNETH
9429302,ATHINA
9430911,VANQUISH
9431147,AL BAHIYA
9431214,ZARGA
9431288,MAERSK KAYA
9431317,
9431458,SWARNA KALASH
9432050,GIANNIS
9432866,KATTEGAT (бывш. SAPPHIRE-T)
9433509,"TORM ATLANTIC (бывш. MAERSK MALTA, GIACINTA)"
9433810,"VELOS ZIRCON (предыдущие названия: UOG KYMA, EAGLE MELBOURNE)"
9434266,VALENCIA KNUTSEN
9436408,STORHOLMEN
9436410,
9438224,VALME B
9438327,SEA BRILLIANCE
9439058,"NORNS (бывш. ORIENT, LIMNIA, TSURUGA)"
9439307,PANCARAN KHATULISTIWA
9439319,WOO CHAN
9439539,BOLU
9439670,CAPTAIN A STELLATOS
9439785,"YAS (ранее RIDGEBURY ALEXANDRA Z, YASA SEYHAN)"
9439802,DASТип судна: Танкер-химовоз / продуктовоз (Chemical/Oil Products Tanker)
9439814,ERIN SCHULTE
9439838,EVERHARD SCHULTE
9441192,NORDIC C
9441207,MINDORO STAR
9441245,GULF LOYALTY
9441685,PILARGAS
9443140,TORM AUSTRALIA
9443164,TORM MALAYSIA
9443413,RASHEEDA
9443877,GRAND ACE 10
9445655,GOLDEN OAK
9447067,SELENKAIMO номер: 9447067
9447328,"TIMA WOURI (бывшие названия: SONGA ATLANTIC, ATLANTIK PRIDE, LIDO, FT STROMBOLI)"
9447732,MAERSK MAGELLAN
9447744,CHAMPION CORNELIAIMO номер: 9447744
9448700,
9449405,MARE PICENUM
9451226,BALTIC
9451836,KOWA MARU NO.3
9452816,JULIO A
9452880,AFRODITI
9453872,MACHADO DE ASSIS
9454486,TANGOТип судна: Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC)
9455349,KITA
9456915,
9456939,FLAGSHIP ORCHID
9457024,SONGA COSMOS
9457452,PRINCESS NATALIEIMO номер: 9457452
9457878,HURON
9458028,AMARANTH
9458858,UACC SHAMIYA
9459034,NCC REEM
9459046,DESH SHOBHA
9459060,"NAVE ATRIA (ранее: NAVE, NAVE&ATRIA)"
9459084,NAVE BELLATRIX
9459204,CAP MEJEAN
9460045,WATATSUMI
9460100,NANIWA MARU NO.65
9460241,STEN FJELL
9461685,ORKIM CITRINE
9461776,SILVER MARGO
9461855,TORM GENESIS (ранее SKS DONGGANG)
9466142,SCOTT SPIRIT
9466582,ADVANTAGE SPRING (ранее: REEF)
9466738,SLOMAN HERMES
9466752,SIDRA DOHA
9466910,SWAN BALTIC
9467732,SWARNA KAMAL
9467770,DESH SAMMAN
9467794,HAFNIA AUSTRALIA
9468671,DELTA POSEIDON
9468815,ROMANCE
9469235,KAKUREI MARU
9469455,EMANTHA
9469998,IZUMI MARU NO.7
9472737,GINGA BOBCAT
9473729,AKATSUKI MARU
9473937,JC BAZAN
9474345,SUNNY MARS
9474541,ANGELA
9475208,TORM LOUISE
9475430,"GOLDEN JASMINE (бывшие названия: KENRICK, ORCHARD, BLUE EMERALD, GAMTOOS)"
9475600,SONANGOL SAMBIZANGA
9478614,ALPINE LINKIMO номер: 9478614
9478664,TAKAOKA
9478688,PINE MEADOW
9478705,ALPINE LEGENDIMO номер: 9478705
9479802,KEY SOUTH (бывш. EKIN-S)
9480306,"KTS WHITEIMO: 9480306Тип судна: Oil/Chemical Tanker (Танкер для перевозки нефтепродуктов и химикатов)Флаг: РЕСПУБЛИКА КОРЕЯ (REPUBLIC OF KOREA)Габаритные характеристики: Длина (LOA) — 87.91 метра, ширина — 14 метров2. Текущая оперативная обстановкаДанные зафиксированы по состоянию на 21 мая 2026 г., 02:48 (UTC+9).Навигационный статус: Stopped (Остановлено)Скорость: 3.7 узлаОсадка: 5 метров3. Логистический трекПункт отправления: Есу, Южная Корея (KR YOS)Дата отправления: 19 мая 2026 г., 05:57 (UTC+9)Заявленный пункт назначения: Ульсан, ЮЖНАЯ КОРЕЯ (KR USN UTT)Расчетное время прибытия (ETA): 21 мая 2026 г., 23:00 (UTC+9) (фактическое прибытие в операционную акваторию Ульсана зафиксировано со значительным опережением — 20 мая 2026 г. в 07:24 UTC+9)4. Промышленный OSINT-анализОперационный статус: Малотоннажный наливной танкер KTS WHITE выполнил внутренний каботажный переход из нефтехимического хаба Есу в порт Ульсан (географическая зона North China). Несмотря на навигационный статус «Stopped» (Остановлено), судно фиксирует остаточную скорость 3.7 узла и следует истинным курсом $143^\circ$ с угловой скоростью поворота $-10^\circ/\text{мин}$. Это указывает на активное маневрирование в границах портовых рейдовых путей, работу буксиров или заход в терминал UTT (Ulsan Tank Terminal). Вблизи судна также отмечается коммерческий интерес оператора Hanwha Commodity Trading.Контекст: Судно адаптировано для гибкой транспортировки малых партий продуктов нефтепереработки и жидкой химии. Текущая осадка 5 метров для танкера с шириной корпуса 14 метров указывает на средний уровень загрузки (частично заполненные танки). Судно прибыло в порт назначения на 1.5 суток раньше заявленного ETA, что позволяет оператору оптимизировать время ожидания на рейде и оперативно поставить танкер под грузовые операции слива/налива химических компонентов."
9482299,SONANGOL ETOSHA
9482603,PHOENIX ADMIRAL
9482859,NAVIG8 MESSI
9484077,SELETAR SPIRIT
9484742,
9485631,UOG HARRIET G
9485863,FG ROTTERDAM (бывшее название: SIVA ROTTERDAM)
9486506,NEW WISDOM
9486520,NEW HORIZON
9486934,SAMOS
9487263,YAMILAH-III
9487380,ALAND (ранее: ANZER)
9488413,"VOULA (бывшие названия: PATARIS, NORDIC ANNE, SUMMIT AUSTRALIA)"
9488839,ASTREA
9489912,ROMULO ALMEIDA
9490325,BOW ENDEAVOR
9490961,
9491812,CUBAL
9493133,JN JUPITER
9494979,TOEI MARU
9496032,FLAGSHIP PRIVET
9498975,"MONJASA STRIKER (ранее ACCRA, SP ATHENS, BUSCHUR)"
9499876,FORTALEZA KNUTSEN
9501162,DABA
9502439,SAN SAN H (ранее JIUJIANG)
9503586,ANITA (бывш. YORACO)
9503926,SHANNON STAR (бывшее название: SEINE STAR)
9506069,LV LIZZY
9506693,DARIKA
9508990,
9509035,BEI HAI ZHAN WANG
9510462,PS ROMA
9512757,"ANDIAMO (ранее: HIGH PEARL, IA PEARL)"
9512836,SHORYU MARU
9513115,ARAGONA
9513438,DAN SABIA
9514559,NAVE QUASAR
9514561,PANAMA PROSPERITY
9515436,LILA KOCHI
9515814,TONG XIN YUAN
9515929,NEW STRENGTH
9516117,JAG LAKSHYA (ранее: DEVON)
9516222,ARENDALIMO номер: 9516222
9516923,DELTA AIGAION
9516935,DELTA APOLLONIA
9516947,NEW GIANT
9517458,BARTOK (бывшее название: BESIKTAS PERA)
9517941,KOKUHO MARU
9519494,MARAN TAURUS
9521473,AQUILA
9521485,MADHURI
9522128,CALIDA
9522178,
9522180,DS VENTURE
9522269,GAS JULIIMO номер: 9522269
9523330,SENRIN MARU
9523586,MEISYO MARU
9524982,"BRIOLETTE (ранее: MAERSK JAMNAGAR, RICH DUKE II)"
9524994,BLUE MOON
9525223,KOWA MARU
9526461,SOUTH AFRICA PROSPERITY (ранее ITHAKI)
9526681,ACONCAGUA (ранее HENG XIN)
9527013,MS PEACE
9527295,MARAN THALEIA
9528043,DAYTONA
9528380,VALLEBLU
9529293,VILAMOURA
9529956,JAMAICA PROSPERITY
9531478,SUNNY BAY
9531519,"NAVIGATOR GENESIS (бывшие названия: MAERSK GENESIS, NAE 5)"
9531636,TORM GEMMA (ранее: SKS DEMINI)
9534004,EGYPT PROSPERITY
9534846,SINGAPORE ENERGY
9535058,HAKUSAN
9536038,CHANG AN ZHOU
9536923,CHEMROAD POLARIS
9537305,IZUMI MARU NO.20
9537745,EAST LOYALTYIMO номер: 9537745
9538440,SHAN YING ZUO
9539585,SPRING STREET (ранее: MERCER STREET)
9539925,ARDMORE SEAVENTURE
9540089,ENERGY FIDELITYТип судна: Газовоз для перевозки СПГ (LNG Tanker)
9540560,KINYO MARU NO.2
9540833,UNIQUE INFINITY
9543079,MANTA BEYLERBEYI
9543500,YARE
9543524,
9543548,TORM ARAWA
9544592,MAJESTY
9547506,ELEGANT VOYAGER
9547520,AKANE
9547685,
9550682,XING CHEN
9550694,"K LUCKY (ранее UOG HERMES, UACC EAGLE)"
9550709,PELAGIC TURBOT (ранее SUMMIT AFRICA)
9552599,KAIRYU
9552666,FAIRCHEM ALDEBARAN
9554729,AKEBONO MARU
9556181,NAVIG8 HONOR
9558397,"CHEM SIRIUS (ранее: VALOROUS QUEEN, LADY KIHO)"
9558971,CHEMICAL MARINER
9559406,"BRAZIL PROSPERITY (бывшее название: MARAN LYRA, TAI HUNG SAN)"
9560467,IZUMI MARU
9562673,
9562697,GASSAN
9563237,ROBERTA B (бывшее название: SEAWAYS KILIMANJARO)
9563574,LI HUA 26
9566758,STOLT SANDPIPER
9568043,ORKIM FORTITUDE
9568495,SAKURA ADVANCE (ранее: KOKUKA COURAGEOUS)
9568809,TUNISIA PROSPERITY
9569580,TONG ZHOU 6
9569633,STREAM
9569700,DERYA
9571064,"RUDRA (ранее JS LANSHAN, NING BO WAN)"
9572575,GOLDEN UNITY
9573660,AQUA 1
9575589,SONANGOL CABINDA
9576832,"XT HONESTY (бывш. TZ GLORY, CYBELE)"
9576909,DL AMBER
9577185,SAEHAN NURIA
9577991,"CGAS TIGER (бывш. CAESAR, JS CAESAR)"
9578000,CGAS PANTHER
9578012,"CGAS LEOPARD (бывш. ALULAR, JS ALULAR)"
9579030,STENA SUPERIOR
9579494,ALMI HORIZON
9579509,ALMI GALAXY
9579561,ALMI NAVIGATOR
9579585,ALMI VOYAGER
9580390,SEAWAYS EAGLE
9583665,"RED DIAMOND (бывш. NAVIGARE PARS, MISENO)"
9583732,
9588469,NORDIC ZENITH
9589748,RIO APURE (ранее: MELITA)
9589932,NAVE CASSIOPEIA
9589944,NAVE CETUS
9590008,
9590058,XING YE
9590319,METRO MOON
9590888,DHT TAIGA
9590905,
9591284,COSGLAD LAKE
9592288,INDIGO SUN (ранее: NISSOS SANTORINI)
9592680,TORM EMMA
9593012,NEELA
9594133,LENI P.IMO номер: 9594133
9594664,
9594767,SEAWAYS COLORADO
9594781,SYDNEY SPIRIT
9594834,EAGLE SAN DIEGO
9594858,EAGLE SAN PEDRO
9594896,
9594901,LOULOULIGHT
9595137,
9595539,PHENIX LEGEND
9596363,CHANG HANG HU PO
9596533,PACIFIC SINCERE
9596961,PACIFIC VINCERE
9596997,HOVDEN SPIRIT
9597147,STOLT ORCA (бывшее название: GENUINE HERCULES)
9597252,MOROCCO PROSPERITY (бывшее название: EAGLE VARNA)
9597276,EAGLE VERSAILLES
9597329,RYUSHO MARU NO.5
9600190,JADE STAR 15
9600528,GASLOG SHANGHAI
9600530,GASLOG SANTIAGO
9601194,
9601730,CORAL ACROPORA
9601871,PHENIX EXPRESS
9602473,MARAN LEOТип судна: Нефтяной танкер (VLCC — Very Large Crude Carrier)
9602617,DELTA GLORY
9602643,RED NOVA
9602722,
9602916,SEAKING
9603207,HE AN HAI
9606687,SEASPAN EMINENCE
9606948,ASIA VISION
9606950,ASIA ENERGY
9607174,HAFNIA EGRET (ранее BW EGRET)
9609639,GARNET EXPRESS
9610389,NEXUS VICTORIA
9610767,SEAWAYS WARWICK
9611541,THALIA
9611620,RONG CHIТип судна: Танкер для перевозки сырой нефти (Crude Oil Tanker / Product Tanker)
9611694,SHAN CHI
9613135,PAPUA
9613161,KUMUL
9615444,BEI HAI HOU WANG
9617038,TOKYO MARU
9617454,ESSIEN
9617557,SHENG HANG HUA 5 (бывш. FENG HAI 25)
9617648,STOLT LOTUS
9617820,KOYO MARU
9621077,PACIFIC ARCADIA
9621584,G. ARETE
9622045,XIN YUAN 8
9623257,YONG LE
9623685,ANGOLA B (ранее TEXAS)
9624005,DONATA SCHULTE
9624067,NORDLOTUS
9624940,ENERGOS ESKIMO (ранее: GOLAR ESKIMO)
9625956,TWIN CASTOR
9626273,GASLOG SYDNEY
9627485,WOODSIDE ROGERS
9627502,MARAN GAS LINDOS
9627966,WILPRIDEТип судна: Газовоз (LNG Tanker / Large)
9629548,SEATREASURE
9629586,YENISEI RIVER
9629598,LENA RIVERIMO номер: 9629598
9629952,SEA SPIKE
9630028,"PERLE (бывшее название: PSKOV, PEARL)"
9630951,"FPSO CLOV (акроним по названиям месторождений: Cravo, Lirio, Orquidea, Violeta)"
9631682,CRYSTAL SUNRISE
9633173,MARAN GAS DELPHI
9633446,"NOVO (ранее: SINOPE, KALLIOPI)"
9634012,KIRISHIMA MARU NO.17
9634593,MATSU MARU NO.5
9634737,SUNRISE ACE
9635808,HAFNIA LYNX
9635834,HAFNIA CHEETAH (ранее BW CHEETAH)
9636644,MAERSK AEGEAN (ранее: SEA AUVA)
9636694,"FATIMA ZARAH (ранее: EVO, KIRIBORA)"
9636723,KITA LNG
9636797,COOL RUNNER
9637715,
9638343,SHINKOU MARU NO.28
9638563,NAVE ATROPOS
9640023,COOL EXPLORER
9640645,BW PAVILION LEEARAТип судна: Танкер для перевозки сжиженного природного газа (LNG Tanker)
9642150,BAO QING
9642411,"LIBERTAD VII (ранее XIN HANG 707, ZHONG YUN 57, HUA HENG 6)"
9643271,YASA SCORPIONТип судна: Нефтяной танкер (VLCC — Very Large Crude Carrier)
9644768,IZUMI MARU NO.22
9645748,LNG MARS
9647485,HUA WEI 8
9648776,KAIMON MARU
9650004,RN PRIMORYE
9651735,MAO XIN
9654567,
9654696,
9654701,KOOL KELVIN (ранее: GOLAR KELVIN)
9654713,MCARTHUR
9654775,ARDMORE EXPORTER (бывшее название: FRONT ESK)
9654787,ARDMORE ENGINEER (бывш. FRONT MERSEY)
9655016,BRISOTE
9655200,SCHOTSMAN
9655949,
9655987,CLEAROCEAN MARIGOLD
9657038,
9658238,MARAN GAS MYSTRAS
9658240,MARAN GAS TROY
9658379,JAG PRIYANKA
9658537,RIEI MARU
9659127,SOPHIE SCHULTE
9659672,THE DIPLOMAT
9659725,MARIA ENERGY
9660657,OCEAN VENTURE
9662887,ENEOS SPIRIT
9664782,"SFL PANTHER (бывш. FRONT PANTHER, FRONT PANTHE2)"
9666077,CS IMPERATIVE (ранее: STENA IMPERATIVE)
9666998,LNG JUROJIN
9667473,STENA IMAGEIMO номер: 9667473
9667930,VIRGEN DE LA AURORA
9669897,BOW TRIDENTТип судна: Танкер для перевозки химических грузов и нефтепродуктов (Chemical/Oil Products Tanker)
9669902,BOW TRIUMPH
9669938,STI DUCHESSAТип судна: Танкер-химовоз / продуктовоз (Chemical/Oil Products Tanker)
9670937,MARIA DEL CARMEN IX (ранее NORD GERANIUM)
9672454,"ATLANTICA DELTA (ранее: ATLANTICA DELTC, ATLANTICA LELTA)"
9672820,CESI GLADSTONE
9672832,CESI QINGDAO
9674725,HIGH DISCOVERY
9674775,PRABHU MIHIKAA (ранее CLARICE)
9675200,KAKUYU MARU
9675444,KINYO MARU NO.5
9677612,YAN SHUN
9679593,ZOURVA
9680035,MARIA EMILIA LV
9680190,ASIA VENTURE
9681120,CMC ANTILLANCA (ранее: STI SAN ANTONIO)
9681209,YUAN CHUN HU
9681687,
9681845,
9681857,
9682239,HAFNIA MERLIN
9682332,
9682344,SILVER MONIKA
9682368,SILVER CINDY (ранее также: BAHIA MARINER)
9682978,EFFIE MAERSK
9683001,KANATA SPIRIT
9683087,
9683362,SILVER GWEN
9683403,SILVER HOUSTON
9683415,
9683661,VL PIONEER
9684108,FIDELIO
9685449,INEOS INTREPID
9686364,NEW VOYAGEIMO номер: 9686364
9686388,BW LEVANT
9686649,
9686742,LUCKY CHEMIST (ранее STI TRIBECA)
9687019,GASLOG GREECE
9687021,GASLOG GLASGOW
9687514,KORTRIJK
9687992,ORENBURGIMO номер: 9687992
9688831,STI MADISON
9689029,CHANG LONG 21 (бывш. FENG HAI 36)
9689043,GOLDEN VIOLET
9689146,HIGH FIDELITY
9689976,NEW DREAM
9689990,NEW TRIUMPH
9690157,LNG PORT-HARCOURT IIIMO номер: 9690157
9690171,LNG ABALAMABIE
9690614,HAFNIA VIRIDIAN
9692014,LNG LAGOS II
9692131,PIS JAWA
9692296,SILVER PHILIPPA
9693056,AGIOS GERASIMOS
9693068,ABLIANI
9693070,STEMNITSA
9694646,TORM KRISTINA (ранее NISSOS THERASSIA)
9694658,NISSOS CHRISTIANA
9696149,LNG SATURN
9696254,
9696682,STI ROSE
9696694,
9696711,STI LAUREN
9697222,
9697480,KORYU MARU
9697595,STI OXFORD
9697612,SEAWAYS LONSDALE (ранее: EXCELSIOR BAY)
9697636,SEAWAYS CASTLE HILLТип судна: Танкер-химовоз / нефтепродуктовоз (Chemical/Oil Products Tanker / Medium Range)
9697997,MAGNOLIA STATE
9699402,KAMITAKA MARU
9699995,KEDARNATH (бывш. SPREAD EAGLE)
9700342,SEAWAYS LOOKOUT (ранее ACTIVE)
9701217,
9701566,TORM KIRSTEN
9701786,BW ARIES
9702003,
9702209,TORM DAGMAR (ранее JANE S)
9703332,FRONT JAGUAR
9704465,STI PONTIAC
9705768,CHEM SINGAPORE
9706061,HAFNIA RAVEN
9706425,STI NOTTING HILLIMO номер: 9706425
9706475,STI ROTHERHITHE
9706504,CHEYENNE
9707261,MAGIC CHEMIST
9707510,GASLOG GIBRALTAR
9708150,STI LOMBARD
9708576,GH UMEKO
9709075,MOZAMBIQUE B
9709087,VIETNAM PROSPERITY
9709489,MARAN GAS PERICLES
9709776,HAFNIA ANE
9710191,
9710311,ECO CORSAIR (бывш. B GAS SUNRISE)
9710397,
9711303,SEAGULL
9711523,KITHNOS
9711602,TENRYU MARU NO.88
9711846,EAGLE FORD LADY
9712565,NAVIGATOR SOLAR
9713624,EPIC SULA
9714276,SERI CAMELLIA
9714288,SERI CENDERAWASIH
9714501,HAFNIA AMETHYST
9715866,PRINCESS GARNET
9716016,INDIGO RAY
9717125,"TORM HELGA (бывш. STI GOAL, NAVIG8 GOAL)"
9717761,SEAWAYS WARWICK
9717773,SEAWAYS LOMA
9718064,CL YINGDU
9718404,SILVER ERVILIA
9718416,SILVER EBURNA
9718753,RUSTAQ SILVER
9718777,MAHADAH SILVER
9718806,DANK SILVER
9718820,SADAH SILVER
9718870,STOLT REGINA
9719240,STOLT APAL
9719288,KRUIBEKE
9719408,DELMA
9719501,BW ORION
9719692,STI SYMPHONY (бывшее название: NAVIG8 SYMPHONY)
9719771,HAFNIA AXINITEТип судна: Танкер-химовоз / нефтепродуктовоз (Chemical/Oil Products Tanker)
9720081,
9721401,
9721504,POLAR ACE
9721724,LA MANCHA KNUTSEN
9721918,MARLIN AVENTURINE
9722182,STI GRATITUDEIMO номер: 9722182
9722223,SILVIO
9722792,CHALLENGER
9723083,DONOUSSAТип судна: Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC — Very Large Crude Carrier)
9723095,FRONT TAY
9723291,MINERVA TYCHI
9724609,SEA FRACTUS
9724697,KOKOLIGHT (бывшее название: BRITISH OFFICER)
9725304,LEIKANGER
9725859,BOCHEM WALVIS BAY (бывшее название: TIGER HARMONY)
9726114,SHAAMITТип судна: Газовоз для перевозки сжиженного нефтяного газа (LPG Tanker)
9726322,NAVIGATOR AURORA
9726475,TORM TROILUS
9726621,
9727015,SEAWAYS HENDRICKS
9727223,BANGLADESH PROSPERITY
9728241,
9728423,
9728435,IONIC ALTHEA (ранее: DIAMOND FAITH)
9728708,BELGIUM B
9728710,EAGLE VENICE
9729271,HAFNIA SOYA
9730361,TRINITY
9730880,STI RAMBLAТип судна: Нефтяной танкер / танкер-продуктовоз (LR2)
9732046,MARITIME HORIZON
9732266,PACIFIC A. DORODCHI
9732503,HELLAS GLADIATORТип судна: Газовоз для перевозки сжиженного нефтяного газа (LPG Tanker / VLGC — Very Large Gas Carrier)
9732541,C.PROMISE
9732826,MALBEC LEGACY (бывш. TRF MOSS)
9732929,"ARDMORE PERSISTENCE (ранее: CL HUAIYANG, MAERSK TRENTON)"
9732931,ARDMORE PURSUIT
9733325,BW FREYJAТип судна: Газовоз СУГ (LPG Tanker / VLGC)
9733698,STORE BAY
9733947,DHT JAGUAR
9733959,DHT TIGER
9733961,DHT LEOPARD
9734836,YARA KARA
9735048,BW MALACCA
9735282,GAS LEO
9735646,HAFNIA EXCELLENCE
9735737,
9736092,ENERGY LIBERTY
9736808,GLOVIS STAR
9736810,GLOVIS SIGMA
9737022,BIBL (указано в данных AIS как название судна)
9737096,EPICURUS
9737204,SENWA MARU
9737371,MARATHON TS
9737383,OSLO TS
9737515,BLUEBIRD
9737577,MELDERSKIN
9739264,CHEM SPICA
9739288,HAFNIA TORRES
9739836,SAANA (бывшее название: FURE VALO)IMO номер: 9739836
9739977,PACIFIC WEIHAI
9740330,FIJI PROSPERITYТип судна: Танкер для перевозки сырой нефти (Crude Oil Tanker / VLCC)
9740469,VST OCEANIA
9740586,HIGH CHALLENGEТип судна: Танкер-химовоз / продуктовоз (Chemical/Oil Products Tanker)Флаг: ЛиберияIMO номер: 9740586
9740794,LAVENDER RAY
9741827,BW NJORDТип судна: Газовоз для перевозки сжиженного нефтяного газа (LPG Tanker / VLGC)
9742807,CASTILLO DE MERIDA
9742912,SILVERWAY
9743203,FRONT CORAL
9743253,EPIC BONAIRE
9743928,GASCHEM BELUGA
9744013,GASLOG GENOA
9744025,GASLOG GLADSTONE
9744128,AFRICA GAS
9744893,STOLT CALLUNA
9744946,EARTH SUMMIT
9745237,AEGEAN UNITY
9746229,CITRINE
9746255,"TIGER EYE (бывшие названия: LADY MEI, LARGO SUN)"
9747106,LIAN XI HU
9747338,
9747974,TERN SEA
9747998,
9748007,PALANCA CADIZ
9748679,NORDIC STAR
9749362,WILLARD JТип судна: Танкер-химовоз / продуктовоз (Chemical/Oil Products Tanker)
9749386,MTM NEW YORK
9749685,KATANA GALAXY (бывш. FAIRCHEM KATANA)
9749714,SOUTHERN ROBIN
9750220,PAN ASIA
9750672,YAKOV GAKKEL
9750684,VAILANKANNIIMO номер: 9750684
9750725,NIKOLAY YEVGENOV
9750737,VLADIMIR VORONIN
9750749,GEORGIY USHAKOV
9752010,BOW CAPRICORN
9752084,SHTURMAN ALBANOV
9752096,SHTURMAN MALYGIN
9752101,SHTURMAN OVTSYN
9752278,ETHANE CRYSTALIMO номер: 9752278
9752292,ETHANE OPAL
9752723,GAS SCORPIO
9752797,ALFA ALANDIA
9752993,MARAN APOLLO
9753002,MARAN ARTEMIS
9753014,MARAN GAS CHIOS
9753026,WOODSIDE CHANEY
9753791,BOW AQUARIUS
9757711,
9757967,CHEMROAD SAKURAIMO номер: 9757967
9758090,BOW SUCCESS (ранее: FAIRCHEM SUCCESS)
9758313,GOLDEN ASPIRANT
9758832,
9758844,
9759240,MARVEL EAGLE
9759757,FRONT CROWN
9759771,FRONT CLIPPER
9759850,SHINSEI MARU
9759915,SHTURMAN SKURATOV
9760213,HAFNIA PRECISION
9760550,BOCHEM BUCEPHALAS
9760770,MARVEL HAWK
9761358,MARAN HELIOS
9761360,MARAN HERCULESIMO номер: 9761360
9761516,LOIRE
9761815,SK SPICA
9761827,SM EAGLE
9762118,TP TENACITY
9762962,HOEGH GIANTIMO номер: 9762962
9762986,DHT HARRIER
9762998,
9764506,STOLT PALM
9766229,HAFNIA YARRA
9766310,SONANGOL CAZENGAIMO номер: 9766310
9766530,BRITISH PARTNER
9766542,
9766554,BRITISH CONTRIBUTOR
9766580,BRITISH SPONSOR
9767340,FRONT SIRIUS
9767962,MARAN GAS HYDRA
9768746,TORM ATLANTIC
9769221,
9769817,
9770438,MARVEL CRANE
9770440,MARVEL HERON
9770696,TAKASAGOТип судна: Танкер для сырой нефти (VLCC — Very Large Crude Carrier)
9770933,MYRINA
9771080,SEAPEAK BAHRAIN (ранее: BAHRAIN SPIRIT)
9771339,FRONT DUKE
9771523,
9771913,LNG SCHNEEWEISSCHEN
9772034,PACIFIC SARAH
9773052,TENACITY VENTURE
