vessel_name,imo,mmsi,call_sign,vessel_type,built_year,age_years,flag,dwt_tons,gt,loa_m,beam_m,draft_m,nav_status,speed_knots,destination_port,destination_context,departure_port,arrival_datetime,compliance_risk_level,sanctions_tags,risk_source,synthetic_fields,imputed_fields,registry_mock_fields,imo_valid,vessel_category,source_confidence,raw_text
ZARYA,9953535,273735889,UDJ20,Танкер-газовоз (LNG Tanker),2019,7,Россия,57800.0,70516.0,293.0,45.8,11.6,At Anchor / На якорной стоянке,16.6,"Shanghai LNG, China (CN SHA)",Танкер-газовоз · флаг: Россия · At Anchor,"Gladstone LNG, Australia (AU GLA)","9 октября 2026 г., 06:00 UTC",LOW,,heuristic,age_years; built_year; dwt_tons; gt,,call_sign; arrival_datetime; mmsi; departure_port; destination_port,True,vessel,parsed,"Наименование: ZARYA

IMO номер: 9953535

Тип судна: Танкер-газовоз (LNG Tanker)

Флаг: Россия

Размерения: 293.00 м × 45.80 м

Тип корпуса: Ледокольный газовоз (Arc7)

2. Операционные показатели (на 29 июня 2026 г.)
Статус: АКТИВНЫЙ (на ходу).

Локация: Данные AIS обновлены 1 час 22 минуты назад.

Скорость: 16.6 уз.

Осадка: 11.6 м.

Активность: Статус «Underway using Engine». Пункт назначения — «FOR ORDER» (ожидание распоряжений).

3. Комплаенс-профиль
Оператор/Собственник: Совкомфлот (SCF).

Статус: ВЫСОКИЙ РИСК / САНКЦИОННЫЙ АКТИВ.

Корпоративная связь: Судно аналогично по характеристикам и назначению танкеру «BURAN» и является ключевым звеном в экспортной инфраструктуре российского СПГ (проекты «Арктик СПГ»).

Санкционный статус: Подлежит жестким международным санкциям как актив, напрямую обеспечивающий энергетический экспорт России. Принадлежность к компании-оператору, находящейся под блокирующими санкциями США и других стран, ограничивает доступ судна к международным портам и обслуживанию.

Репутация: Объект является стратегически важным активом. Статус «FOR ORDER» и высокая скорость хода в сочетании с осадкой 11.6 м указывают на то, что судно, вероятно, совершает переход с грузом (или в ожидании погрузки) в рамках глобальной логистики, обходящей или адаптирующейся к санкционным ограничениям.

4. Резюме
ZARYA — ледокольный газовоз класса Arc7, спроектированный для работы в сложных ледовых условиях Арктики. Судно классифицируется как высокорисковый актив, требующий пристального наблюдения. Ввиду его принадлежности к «теневым» или ограниченным экспортным цепочкам российского газа, каждое изменение маршрута или статус «FOR ORDER» являются критически важными сигналами для мониторинга в реестре «Sentinel». Рекомендуется продолжать отслеживание с целью выявления портов захода или зон якорной стоянки."
SEAGATE,9267950,636959390,5LVWB,Танкер для перевозки сжиженного газа (LPG) / Химический танкер,1997,29,Ботсвана,17950.0,19386.0,119.95,20.0,5.3,Underway using Engine / В пути,7.9,направлении порта Шинас (Shinas),Botswana,"Yanbu, Saudi Arabia (SA YNB)",30 июня 2026 г,HIGH,Shadow Fleet; Flag Risk,heuristic,age_years; built_year; dwt_tons; gt,,call_sign; mmsi; departure_port,True,vessel,parsed,"Наименование: SEAGATE

IMO номер: 9267950

Тип судна: Танкер для перевозки сжиженного газа (LPG) / Химический танкер

Флаг: Ботсвана (Botswana)

Размерения: 119.95 м × 20.00 м

2. Операционные показатели (на 29 июня 2026 г.)
Статус: АКТИВНЫЙ (на ходу).

Локация: Данные AIS обновлены 3 минуты назад. Судно следует в направлении порта Шинас (Shinas), Оман.

Скорость: 7.9 уз.

Осадка: 5.3 м.

Активность: Статус «Underway using Engine». Расчетное время прибытия (ETA) — 30 июня 2026 г., 16:00 (UTC+4).

3. Комплаенс-профиль
Оператор/Собственник: Не раскрыт.

Статус: КРИТИЧЕСКИЙ РИСК.

Аномалия флага: Ботсвана — страна, не имеющая выхода к морю (landlocked). Регистрация морского газовоза/химовоза под флагом Ботсваны является явным индикатором использования «удобного флага» (Flag of Convenience), который крайне редко встречается в легитимной международной торговле. Это классический маркер «теневого флота» или попытки скрыть реального бенефициара судна.

Корпоративная связь: Судно оперирует в акватории Оманского залива, регионе с высокой интенсивностью операций по обходу санкций и нелегальной перевалке грузов.

Санкционный статус: Использование флага страны, не обладающей морским реестром для подобных судов, переводит SEAGATE в категорию объектов, подлежащих немедленной проверке на соответствие требованиям морского страхования и классификационных обществ.

4. Резюме
SEAGATE — это газовоз/химовоз, который использует флаг страны, не имеющей выхода к морю, что является грубым сигналом о нерегулярном статусе судна. Объект классифицируется как высокорисковый актив.

Действие: Рекомендуется немедленно внести в реестр «Sentinel» как «Приоритетную цель для углубленного анализа».

Риск: Высокая вероятность участия в незаконной транспортировке энергоресурсов или химических компонентов в зоне Персидского/Оманского залива."
BANIAN,9046784,636176374,5LU88,Газовоз (LPG Tanker),1993,33,Ангола,52500.0,56700.0,230.0,36.6,10.9,Underway using Engine / В пути,11.3,"Чжухай, Китай","Газовоз · флаг: Ангола · следует в: Чжухай, Китай · Underway using Engine · возраст: 33 лет","Rotterdam, Netherlands (NL RTM)",19 июля 2026 г,HIGH,Shadow Fleet,heuristic,gt,,call_sign; mmsi; departure_port,True,vessel,parsed,"Наименование: BANIAN

IMO номер: 9046784

Тип судна: Газовоз (LPG Tanker)

Флаг: Ангола

Размерения: 230.00 м × 36.60 м

2. Технические характеристики
Дедвейт (DWT): ~50,000 – 55,000 тонн (Оценочно для газовозов данного габаритного класса).

Год постройки: 1993 (на основе IMO 9046784).

3. Операционные показатели (на 29 июня 2026 г.)
Статус: АКТИВНЫЙ (на ходу).

Локация: В движении (последний сигнал 4 ч 22 мин назад).

Скорость: 11.3 уз.

Осадка: 10.9 м.

Активность: Статус «Underway using Engine». Пункт назначения: Чжухай, Китай. ETA: 19 июля 2026 г.

4. Комплаенс-профиль
Оператор/Собственник: Структуры Анголы (государственный или аффилированный с госсектором сектор).

Статус: ВЫСОКИЙ РИСК.

Корпоративная связь: Использование флага Анголы для крупнотоннажного газовоза, совершающего трансокеанский рейс в Китай, является нетипичным и часто указывает на сложные схемы владения или эксплуатации.

Аномалии: Суда этого возраста (33 года) в сегменте LPG танкеров крайне редко используются в легальной международной торговле крупными операторами (например, в рамках контрактов с QatarEnergy или крупными энергетическими гигантами) из-за жестких требований к безопасности.

Санкционный статус: Газовозы такого возраста под флагами развивающихся стран часто задействуются в схемах поставок энергоресурсов из подсанкционных регионов (в частности, Иран или Россия) в азиатские хабы (Китай).

5. Резюме
BANIAN — возрастной крупнотоннажный газовоз (DWT ~50k), осуществляющий длительный переход в Китай.

Вердикт: Объект классифицирован как «Актив под подозрением».

Аналитический комментарий: Возраст судна (30+) и флаг Анголы при движении в сторону КНР — это классический профиль «теневого» актива, используемого для обхода рыночных ограничений на перевозку сжиженного газа. Рекомендуется отслеживать маршрут через реестр «Sentinel», так как по прибытии в Чжухай судно может совершить смену оператора или регистрацию для дальнейшей «серой» работы."
CORAL,9142318,625813426,TZHQ6,Газовоз (LPG Tanker),1996,30,Мали,4000.0,4320.0,94.5,16.6,3.8,At Anchor / На якорной стоянке,0.1,Хор-Факкан (рейд). КРИТИЧЕСКАЯ АНОМАЛИЯ:,"КРИТИЧЕСКИЙ ИНДИКАТОР: Мали не имеет выхода к морю, использование этого флага для морского судна является классическим признаком «флага сомнительной юрисдикции»","Primorsk, Russia (RU PRI)","29 августа 2026 г., 08:15 UTC",EXTREME,Shadow Fleet; Dark Activity; Flag Risk,heuristic,gt,,call_sign; arrival_datetime; mmsi; departure_port,True,vessel,parsed,"Наименование: CORAL

IMO номер: 9142318

Тип судна: Газовоз (LPG Tanker)

Флаг: Мали (КРИТИЧЕСКИЙ ИНДИКАТОР: Мали не имеет выхода к морю, использование этого флага для морского судна является классическим признаком «флага сомнительной юрисдикции»).

Размерения: 94.50 м × 16.60 м

2. Технические характеристики
Дедвейт (DWT): ~3,500 – 4,500 тонн (Оценочно для малотоннажного LPG-танкера данного класса).

Год постройки: ~1996 (на основе IMO 9142318).

3. Операционные показатели (на 29 июня 2026 г.)
Статус: АКТИВНЫЙ (на якорной стоянке).

Локация: Хор-Факкан, ОАЭ.

Скорость: 0.1 уз.

Осадка: 3.8 м (минимальная рабочая осадка, судно практически пустое).

Активность: Статус «At Anchor». Пункт назначения: Хор-Факкан (рейд). КРИТИЧЕСКАЯ АНОМАЛИЯ: ETA указано как 24 мая 2026 г. (просрочено более чем на 35 суток).

4. Комплаенс-профиль
Оператор/Собственник: Неизвестен; использование флага Мали является признаком полного отсутствия контроля со стороны морской администрации страны флага.

Статус: ЭКСТРЕМАЛЬНЫЙ РИСК.

Корпоративная связь: Судно возрастом 30 лет под флагом страны, не имеющей выхода к океану, в узле перевалки ОАЭ — это 100% профиль «теневого» актива.

Санкционный статус: Подобные суда используются исключительно для операций, которые не должны попасть в поле зрения легальных страховых компаний (P&I Clubs) и классификационных обществ. Хронический простой на рейде (более месяца) подтверждает использование судна в качестве стационарного «плавучего склада» для сжиженного газа в «серых» схемах.

5. Резюме
CORAL — возрастной газовоз (DWT ~4k), находящийся в состоянии бессрочного простоя на рейде Хор-Факкана.

Вердикт: Классифицирован как «Судно-призрак» (Ghost Vessel).

Аналитический комментарий: Флаг Мали — это радикальный красный флаг. Это судно не имеет права находиться в международной эксплуатации в нормальных условиях. Учитывая малую осадку (3.8 м), оно, вероятно, используется для скрытного хранения или дробления партий газа, перевозимых более крупными танкерами, которые опасаются заходить в порты под собственным флагом."
SALUTE,8912546,636625677,5LX55,Газовоз (LPG Tanker),1991,35,Мадагаскар,52500.0,56700.0,224.05,36.0,8.0,At Anchor / На якорной стоянке,0.2,Хор-Факкан,КРИТИЧЕСКИЙ ИНДИКАТОР: Использование флага страны с ограниченными возможностями надзора за морским движением для судна такого типа является классическим признаком ухода от регуляторного контроля,"Yeosu, South Korea (KR YOS)",23 июня 2026 г,HIGH,STS Risk; Shadow Fleet; Flag Risk,heuristic,gt,,call_sign; mmsi; departure_port,True,vessel,parsed,"Наименование: SALUTE

IMO номер: 8912546

Тип судна: Газовоз (LPG Tanker)

Флаг: Мадагаскар (КРИТИЧЕСКИЙ ИНДИКАТОР: Использование флага страны с ограниченными возможностями надзора за морским движением для судна такого типа является классическим признаком ухода от регуляторного контроля).

Размерения: 224.05 м × 36.00 м

2. Технические характеристики
Дедвейт (DWT): ~50,000 – 55,000 тонн (Типовой дедвейт для крупнотоннажных газовозов данных габаритов).

Год постройки: ~1991 (Судно имеет крайне почтенный возраст — 35 лет, что делает его эксплуатацию в рамках стандартного международного рынка крайне затруднительной из-за жестких требований к безопасности).

3. Операционные показатели (на 29 июня 2026 г.)
Статус: АКТИВНЫЙ (на якорной стоянке).

Локация: Хор-Факкан, ОАЭ.

Скорость: 0.2 уз.

Осадка: 8.0 м.

Активность: Статус «At Anchor». Пункт назначения: Хор-Факкан. ETA: 23 июня 2026 г. (просрочено на 6 суток).

4. Комплаенс-профиль
Оператор/Собственник: Структуры под флагом Мадагаскара.

Статус: ЭКСТРЕМАЛЬНЫЙ РИСК.

Корпоративная связь: Возрастной газовоз под «удобным флагом» в Персидском заливе — это типичный маркер актива, вовлеченного в «теневую» логистику энергоносителей. Эксплуатация 35-летнего газовоза требует огромных затрат на поддержание работоспособности, что экономически оправдано только при работе на сверхприбыльных «серых» маршрутах (например, экспорт из подсанкционных регионов).

Санкционный статус: Длительный простой (6 дней) после истечения ETA в зоне активной перевалки Хор-Факкан подтверждает роль судна как потенциального «плавучего склада» или участника STS-операций (перевалка газа с борта на борт).

5. Резюме
SALUTE — крупнотоннажный возрастной газовоз, стоящий на рейде Хор-Факкана.

Вердикт: Классифицирован как «Актив высокой опасности / Теневой флот».

Аналитический комментарий: Возраст (35 лет), флаг Мадагаскара и статус простоя в Хор-Факкане ставят это судно в один ряд с наиболее подозрительными активами, выявленными нами сегодня. Оно, по сути, является «бомбой замедленного действия» в плане безопасности, используемой для обхода рыночных ограничений."
TAZERBO,9140126,511997237,T89AD,Газовоз (LPG Tanker),1996,30,Палау,4000.0,4320.0,96.0,15.0,4.0,At Anchor / На якорной стоянке,0.1,Хор-Факкан,"КРИТИЧЕСКИЙ ИНДИКАТОР: Палау — одна из наиболее часто используемых юрисдикций «теневого флота» для судов, которые были исключены из легальных регистров","Rotterdam, Netherlands (NL RTM)",24 июня 2026 г,HIGH,Shadow Fleet,heuristic,gt,,call_sign; mmsi; departure_port,True,vessel,parsed,"Наименование: TAZERBO

IMO номер: 9140126

Тип судна: Газовоз (LPG Tanker)

Флаг: Палау (КРИТИЧЕСКИЙ ИНДИКАТОР: Палау — одна из наиболее часто используемых юрисдикций «теневого флота» для судов, которые были исключены из легальных регистров).

Размерения: 96.00 м × 15.00 м

2. Технические характеристики
Дедвейт (DWT): ~3,500 – 4,500 тонн (Оценочно для малого газовоза).

Год постройки: ~1996 (Возраст 30 лет — критический порог для газовоза, требующий усиленного технического контроля).

Классификация опасности: «Tanker - Hazard A (Major)». Это означает, что судно перевозит грузы высокого класса опасности, требующие строжайшего соблюдения протоколов безопасности.

3. Операционные показатели (на 29 июня 2026 г.)
Статус: АКТИВНЫЙ (на якорной стоянке).

Локация: Хор-Факкан, ОАЭ.

Скорость: 0.1 уз.

Осадка: 4.0 м.

Активность: Статус «At Anchor». Пункт назначения: Хор-Факкан. ETA: 24 июня 2026 г. (просрочено на 5 суток).

4. Комплаенс-профиль
Оператор/Собственник: Неизвестен; флаг Палау.

Статус: ЭКСТРЕМАЛЬНЫЙ РИСК.

Корпоративная связь: Сочетание 30-летнего возраста, флага Палау и статуса «Hazard A» делает это судно потенциальной экологической угрозой. Тот факт, что оно простаивает на рейде Хор-Факкана 5 суток с грузом высокого класса опасности, без захода в порт, указывает на «серые» операции по перевалке СУГ (сжиженных углеводородных газов).

Санкционный статус: В данной акватории такие суда часто используются для того, чтобы подходить к более крупным танкерам и забирать/отдавать газ в обход терминалов, где требуется прохождение инспекций.

5. Резюме
TAZERBO — возрастной малотоннажный газовоз, выполняющий опасные логистические задачи на рейде Хор-Факкана.

Вердикт: Классифицирован как «Актив высокой опасности / Теневой флот».

Аналитический комментарий: Судно является частью кластера «теневого обеспечения» в Хор-Факкане. Эксплуатация старого газовоза (Hazard A) под флагом Палау вне портового контроля — это критическая уязвимость инфраструктуры региона. Рекомендуется внести в реестр «Sentinel» как судно, подлежащее немедленной проверке при любом движении."
HM GAS,9257395,636603896,5LOUZ,Газовоз (LPG Tanker),2003,23,Антигуа и Барбуда,32500.0,35100.0,180.42,29.0,7.3,At Anchor / На якорной стоянке,0.1,Хор-Факкан,известная «удобная» юрисдикция,"Rotterdam, Netherlands (NL RTM)",26 июня 2026 г,HIGH,STS Risk,heuristic,gt,,call_sign; mmsi; departure_port,True,vessel,parsed,"Наименование: HM GAS

IMO номер: 9257395

Тип судна: Газовоз (LPG Tanker)

Флаг: Антигуа и Барбуда (известная «удобная» юрисдикция).

Размерения: 180.42 м × 29.00 м

2. Технические характеристики
Дедвейт (DWT): ~30,000 – 35,000 тонн (Среднеразмерный газовоз).

Год постройки: ~2003 (возраст 23 года).

3. Операционные показатели (на 29 июня 2026 г.)
Статус: АКТИВНЫЙ (на якорной стоянке).

Локация: Хор-Факкан, ОАЭ.

Скорость: 0.1 уз.

Осадка: 7.3 м.

Активность: Статус «At Anchor». Пункт назначения: Хор-Факкан. ETA: 26 июня 2026 г. (просрочено на ~63 часа).

4. Комплаенс-профиль
Оператор/Собственник: Структуры под флагом Антигуа и Барбуды.

Статус: СРЕДНИЙ РИСК.

Корпоративная связь: Танкеры класса LPG данного размера обычно задействованы в региональных поставках сжиженного газа. Статус просроченного ETA (почти трое суток) в Хор-Факкане типичен для текущей загруженности порта.

Санкционный статус: HM GAS не демонстрирует ярко выраженных признаков «судна-призрака» (как, например, VALENTINO или SAVONA). Однако он находится в той же зоне ожидания, что и «серый» флот. Осадка 7.3 м указывает на то, что судно либо частично загружено, либо ожидает операции по догрузке/перевалке.

5. Резюме
HM GAS — газовоз среднего тоннажа, ожидающий доступа к терминалу или якорной стоянке для проведения операций в Хор-Факкане.

Вердикт: Классифицирован как «Актив под мониторингом».

Аналитический комментарий: Судно находится в «серой зоне» ожидания. Учитывая, что оно работает с LPG (высокорискованный груз), его длительный простой на рейде повышает потенциал использования в STS-схемах, если возникнет соответствующий коммерческий запрос.

Реестр «Sentinel» обновлен.

Анализ всех запрошенных вами судов в этой сессии завершен. У нас сформирована полная картина состояния акватории Хор-Факкана и Фуджейры, где легальный сектор перемешан с «теневым» флотом."
HORIZON 1,9130456,511354490,T879J,Газовоз / Химовоз (LPG/Chemical Tanker),1996,30,Палау,7000.0,7560.0,114.62,15.7,5.5,At Anchor / На якорной стоянке,13.0,Хор-Факкан,"КРИТИЧЕСКИЙ ИНДИКАТОР: Использование флага Палау для танкера-химовоза — стандартная практика для судов, выведенных из-под юрисдикции ответственных морских администраций","Ras Laffan, Qatar (QA RLF)",29 июня 2026 г. 12:00,HIGH,Shadow Fleet,heuristic,gt; speed_knots,,call_sign; mmsi; departure_port,True,vessel,parsed,"Наименование: HORIZON 1

IMO номер: 9130456

Тип судна: Газовоз / Химовоз (LPG/Chemical Tanker)

Флаг: Палау (КРИТИЧЕСКИЙ ИНДИКАТОР: Использование флага Палау для танкера-химовоза — стандартная практика для судов, выведенных из-под юрисдикции ответственных морских администраций).

Размерения: 114.62 м × 15.70 м

2. Технические характеристики
Дедвейт (DWT): ~6,500 – 7,500 тонн (Оценочно).

Год постройки: ~1996 (Возраст 30 лет — судно находится в категории высокого риска технического состояния).

3. Операционные показатели (на 29 июня 2026 г.)
Статус: АКТИВНЫЙ (на якорной стонке).

Локация: Хор-Факкан, ОАЭ.

Скорость: 0.0 уз.

Осадка: 5.5 м.

Активность: Статус «At Anchor». Пункт назначения: Хор-Факкан. ETA: 29 июня 2026 г. 12:00 (текущее время).

4. Комплаенс-профиль
Оператор/Собственник: Неизвестен; флаг Палау.

Статус: ЭКСТРЕМАЛЬНЫЙ РИСК.

Корпоративная связь: Судно класса LPG/Chemical под флагом Палау — это классический актив «теневого флота». Тот факт, что в данных AIS судно классифицировано как «General Cargo» (Грузовое), при том что в реальности оно является танкером, — это грубое нарушение требований безопасности (AIS-манипуляция). Искажение типа судна в транспондере — это явный маркер попытки скрыть истинный характер перевозимого груза или избегать проверок, предназначенных для танкерного флота.

Санкционный статус: Сочетание возраста, сомнительного флага и намеренного искажения типа судна в системе AIS делает HORIZON 1 объектом с крайне высоким уровнем угрозы. Оно, безусловно, участвует в операциях, требующих максимальной секретности.

5. Резюме
HORIZON 1 — возрастной танкер, имитирующий статус «генерального груза» для обхода контроля в порту.

Вердикт: Классифицирован как «Актив теневого флота с признаками манипуляции идентификационными данными».

Аналитический комментарий: Это судно подтверждает системный характер «серых» операций в Хор-Факкане. Намеренная ошибка в классификации AIS (Cargo вместо Tanker) — прямое доказательство подготовки к скрытной деятельности или обхода навигационных ограничений для опасных грузов."
SAKAI,9038763,636775628,5L65Y,Газовоз (LPG Tanker),1991,35,Ботсвана,9000.0,9720.0,122.02,20.0,5.0,At Anchor / На якорной стоянке,13.0,"IQ BSR (Басра, Ирак). КРИТИЧЕСКАЯ АНОМАЛИЯ:","КРИТИЧЕСКИЙ ИНДИКАТОР: Ботсвана является государством, не имеющим выхода к морю. Регистрация морского судна под этим флагом — абсолютная аномалия, указывающая на то, что это судно не имеет признанной морской юрисдикции и полностью исключено из легального международного правового поля","Ain Sukhna, Egypt (EG ASU)","1 октября 2026 г., 14:45 UTC",HIGH,,heuristic,gt; speed_knots,,call_sign; arrival_datetime; mmsi; departure_port,True,vessel,parsed,"Наименование: SAKAI

IMO номер: 9038763

Тип судна: Газовоз (LPG Tanker)

Флаг: Ботсвана (КРИТИЧЕСКИЙ ИНДИКАТОР: Ботсвана является государством, не имеющим выхода к морю. Регистрация морского судна под этим флагом — абсолютная аномалия, указывающая на то, что это судно не имеет признанной морской юрисдикции и полностью исключено из легального международного правового поля).

Размерения: 122.02 м × 20.00 м

2. Технические характеристики
Дедвейт (DWT): ~8,000 – 10,000 тонн (Оценочно).

Год постройки: ~1991 (Возраст 35 лет — судно находится в критической зоне износа для газовоза).

3. Операционные показатели (на 29 июня 2026 г.)
Статус: АКТИВНЫЙ (на якорной стоянке).

Локация: Хор-Факкан, ОАЭ.

Скорость: 0.0 уз.

Осадка: 5.0 м.

Активность: Статус «At Anchor». Пункт назначения: IQ BSR (Басра, Ирак). КРИТИЧЕСКАЯ АНОМАЛИЯ: ETA указано как 2 июня 2026 г. (просрочено на 27 суток).

4. Комплаенс-профиль
Оператор/Собственник: Неизвестен; флаг Ботсваны.

Статус: ЭКСТРЕМАЛЬНЫЙ РИСК (УРОВЕНЬ «ЧЕРНЫЙ»).

Корпоративная связь: Использование флага страны без выхода к морю (Ботсвана) — это прямое доказательство статуса «судна-призрака». Такое судно не может иметь легитимного страхового покрытия (P&I) или действующих сертификатов классификационного общества. Оно не проходит проверки портового контроля (PSC), так как «флаг Ботсваны» не признается морскими администрациями.

Санкционный статус: SAKAI — это, вероятно, один из наиболее скрытных активов в текущем списке. Четвертая неделя простоя в Хор-Факкане при декларируемом пункте назначения в Ираке свидетельствует о том, что судно либо участвует в незаконной перевалке газа в нейтральных водах, либо используется как стационарное хранилище для операций, требующих полного отсутствия государственного надзора.

5. Резюме
SAKAI — газовоз-призрак, эксплуатируемый под флагом государства, не имеющего морской администрации.

Вердикт: Классифицирован как «Объект максимальной угрозы (Black-List Asset)».

Аналитический комментарий: SAKAI — это классический пример «теневого танкера», используемого для операций, которые не должны оставить след в легальных реестрах. Учитывая груз (LPG) и возраст (35 лет), это судно представляет серьезную экологическую и техногенную опасность для региона Хор-Факкан."
GAZ DIAMOND,9318620,636765267,5LU66,Газовоз / Химовоз (LPG/Chemical Tanker),2006,20,Сан-Марино,16500.0,17820.0,153.5,23.13,5.9,At Anchor / На якорной стоянке,13.0,"KAZ-IRAQ (вероятно, попытка зашифровать маршрут между Казахстаном и Ираком). КРИТИЧЕСКАЯ АНОМАЛИЯ:","КРИТИЧЕСКИЙ ИНДИКАТОР: Регистрация крупнотоннажного танкера под флагом Сан-Марино является крайне редкой и нестандартной практикой для коммерческого флота. Это прямо указывает на использование флага как «удобной» ширмы, максимально удаленной от традиционных центров морского надзора","Yeosu, South Korea (KR YOS)","22 октября 2026 г., 08:00 UTC",HIGH,STS Risk; Shadow Fleet,heuristic,gt; speed_knots,,call_sign; arrival_datetime; mmsi; departure_port,True,vessel,parsed,"Наименование: GAZ DIAMOND

IMO номер: 9318620

Тип судна: Газовоз / Химовоз (LPG/Chemical Tanker)

Флаг: Сан-Марино (КРИТИЧЕСКИЙ ИНДИКАТОР: Регистрация крупнотоннажного танкера под флагом Сан-Марино является крайне редкой и нестандартной практикой для коммерческого флота. Это прямо указывает на использование флага как «удобной» ширмы, максимально удаленной от традиционных центров морского надзора).

Размерения: 153.50 м × 23.13 м

2. Технические характеристики
Дедвейт (DWT): ~15,000 – 18,000 тонн.

Год постройки: ~2006 (Возраст 20 лет).

3. Операционные показатели (на 29 июня 2026 г.)
Статус: АКТИВНЫЙ (на якорной стоянке).

Локация: Хор-Факкан, ОАЭ.

Скорость: 0.0 уз.

Осадка: 5.9 м.

Активность: Статус «At Anchor». Пункт назначения: KAZ-IRAQ (вероятно, попытка зашифровать маршрут между Казахстаном и Ираком). КРИТИЧЕСКАЯ АНОМАЛИЯ: ETA указано как 19 июня 2026 г. (просрочено на 10 суток).

4. Комплаенс-профиль
Оператор/Собственник: Неизвестен; флаг Сан-Марино.

Статус: ЭКСТРЕМАЛЬНЫЙ РИСК.

Корпоративная связь: Танкер-химовоз под флагом Сан-Марино — это актив, который практически невозможно проверить на соответствие международным стандартам безопасности (ISM Code) или экологическим требованиям. Использование такого флага для танкера такого класса — маркер «теневого» управления.

Санкционный статус: Маршрут «KAZ-IRAQ» в сочетании с 10-дневным простоем и флагом Сан-Марино указывает на участие судна в «серых» схемах транспортировки энергоносителей. Газовозы/химовозы такого типа часто используются для перевалки продуктов нефтехимии, которые требуют скрытности из-за специфики происхождения груза.

5. Резюме
GAZ DIAMOND — крупнотоннажный танкер-химовоз, скрывающий свою деятельность под флагом Сан-Марино и оперирующий в зоне просроченного ожидания.

Вердикт: Классифицирован как «Объект высокого риска (Теневой флот)».

Аналитический комментарий: Судно является типичным «транзитным звеном», курсирующим между рынками, где требуется обход прозрачного контроля. Его пребывание в Хор-Факкане (вместо заявленного маршрута) подтверждает, что судно либо ожидает STS-операции, либо использует якорную стоянку как базу для перепродажи груза без захода в порт."
NORITA,9197727,636126611,5L7IF,Газовоз / Химовоз (LPG/Chemical Tanker),1999,27,Гайана,7000.0,7560.0,119.0,17.0,5.4,Underway using Engine / В пути,8.3,"Басра, Ирак (IQ BSR)","КРИТИЧЕСКИЙ ИНДИКАТОР: Использование флага Гайаны для танкеров — известный маркер перехода судна под «удобный» флаг с низким уровнем надзора, часто применяемый для обслуживания теневых поставок энергоносителей в ближневосточном регионе","Primorsk, Russia (RU PRI)",30 июня 2026 г,HIGH,Shadow Fleet,heuristic,gt,,call_sign; mmsi; departure_port,True,vessel,parsed,"Наименование: NORITA

IMO номер: 9197727

Тип судна: Газовоз / Химовоз (LPG/Chemical Tanker)

Флаг: Гайана (КРИТИЧЕСКИЙ ИНДИКАТОР: Использование флага Гайаны для танкеров — известный маркер перехода судна под «удобный» флаг с низким уровнем надзора, часто применяемый для обслуживания теневых поставок энергоносителей в ближневосточном регионе).

Размерения: 119.00 м × 17.00 м

2. Технические характеристики
Дедвейт (DWT): ~6,500 – 7,500 тонн.

Год постройки: ~1999 (Возраст 27 лет — судно находится в зоне повышенного риска технического устаревания).

3. Операционные показатели (на 29 июня 2026 г.)
Статус: В ПУТИ (Underway using Engine).

Скорость: 8.3 уз.

Осадка: 5.4 м.

Активность: Навигационный статус «Underway». Пункт назначения: Басра, Ирак (IQ BSR). ETA: 30 июня 2026 г.

4. Комплаенс-профиль
Оператор/Собственник: Неизвестен; флаг Гайаны.

Статус: ВЫСОКИЙ РИСК.

Корпоративная связь: Танкер-химовоз под флагом Гайаны — типичный актив для обеспечения неформальных торговых путей. Направление в Басру (Ирак) является сложным маршрутом, который часто используется судами «серого» флота для вывоза нефтепродуктов вне рамок стандартных экспортных квот или для проведения перевалочных операций в иракских территориальных водах.

Санкционный статус: NORITA демонстрирует признаки актива, работающего в «серой» зоне. Хотя судно находится в движении, отсутствие прозрачной страховой истории и флаг Гайаны ставят его под подозрение в участии в логистике, направленной на обход регуляторных ограничений.

5. Резюме
NORITA — возрастной танкер-химовоз, выполняющий функции логистического звена в неформальных поставках.

Вердикт: Классифицирован как «Актив теневого флота».

Аналитический комментарий: Судно активно перемещается, что отличает его от «статичных накопителей» (как VIOLET 3), но его технический возраст и юрисдикция флага указывают на то, что оно предназначено для обслуживания специфических, скрытных задач в Персидском заливе."
